t,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B
1,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25
100000,0.477275,0.272724,0.477497,0.272502,0.477187,0.272812,0.477337,0.272661,0.477127,0.272872,0.47743,0.272569,0.477074,0.272925,0.477271,0.272728,0.477044,0.272954,0.477619,0.272379,0.477297,0.272701,0.477359,0.27264,0.477241,0.272757,0.477241,0.272758,0.47752,0.272479,0.477282,0.272716,0.477352,0.272646,0.477461,0.272538,0.477301,0.272696,0.477446,0.272552,0.477575,0.272421,0.477468,0.272531,0.477201,0.272798,0.477311,0.272687,0.476961,0.273037,0.477401,0.272598,0.477596,0.272403,0.477325,0.272671,0.477146,0.272853,0.477262,0.272737,0.477282,0.272716,0.477381,0.272616,0.477271,0.272728,0.477286,0.272713,0.477539,0.27246,0.477673,0.272326,0.477115,0.272882,0.47735,0.272649,0.477423,0.272576,0.477245,0.272753,0.477875,0.272124,0.477383,0.272616,0.477555,0.272444,0.477787,0.272212,0.477626,0.272373,0.477244,0.272755,0.47728,0.272719,0.477054,0.272945,0.477315,0.272683,0.477407,0.272592,0.477308,0.27269,0.477378,0.272621,0.4776,0.272399,0.477336,0.272662,0.477245,0.272754,0.47749,0.272509,0.477452,0.272547,0.477251,0.272748,0.477212,0.272787,0.477601,0.272398,0.477227,0.272772,0.476986,0.273013,0.477353,0.272646,0.477264,0.272735,0.477628,0.27237,0.477263,0.272736,0.477406,0.272592,0.477324,0.272673,0.477137,0.272862,0.477659,0.27234,0.477226,0.27277,0.477196,0.272802,0.477372,0.272627,0.477441,0.272556,0.477532,0.272464,0.476966,0.273033,0.476921,0.273077,0.477417,0.272582,0.477454,0.272545,0.477284,0.272714,0.477118,0.272881,0.477325,0.272674,0.476948,0.273047,0.477056,0.272943,0.477358,0.272641,0.477401,0.272598,0.477294,0.272698,0.477441,0.272556,0.477512,0.272487,0.477578,0.272421,0.477478,0.272521,0.477086,0.272911,0.477443,0.272555,0.477111,0.272888,0.477641,0.272351,0.477547,0.272452,0.476882,0.273116,0.477391,0.272607,0.477331,0.272668,0.477425,0.272574
200000,0.459025,0.290974,0.45897,0.291029,0.458576,0.291423,0.458946,0.291053,0.458329,0.29167,0.458779,0.29122,0.458706,0.291288,0.45849,0.291509,0.458378,0.291621,0.458937,0.291061,0.458793,0.291204,0.458921,0.291078,0.458839,0.29116,0.458741,0.291258,0.458923,0.291076,0.458774,0.291225,0.45886,0.291139,0.458775,0.291224,0.458937,0.291061,0.458811,0.291188,0.45871,0.291288,0.459194,0.290804,0.458883,0.291116,0.45893,0.291069,0.458188,0.291811,0.458708,0.291291,0.45912,0.290879,0.458957,0.291041,0.458847,0.291151,0.458588,0.291408,0.458503,0.291496,0.458826,0.291173,0.458691,0.291308,0.458599,0.2914,0.459399,0.2906,0.45891,0.291089,0.458512,0.291484,0.458616,0.29138,0.459155,0.290843,0.459263,0.290732,0.45908,0.290916,0.458913,0.291086,0.459029,0.29097,0.459396,0.290595,0.458913,0.291086,0.458826,0.291172,0.459015,0.290982,0.458266,0.291729,0.458639,0.291359,0.458665,0.291334,0.458942,0.291056,0.459148,0.29085,0.459173,0.290825,0.459298,0.2907,0.458573,0.291425,0.458774,0.291225,0.45888,0.291118,0.458766,0.291233,0.45884,0.291159,0.459165,0.290834,0.458682,0.291317,0.458607,0.291392,0.459186,0.290813,0.458774,0.291225,0.459016,0.290983,0.458544,0.291454,0.459051,0.290948,0.458651,0.291347,0.458042,0.291957,0.458996,0.291002,0.458613,0.291386,0.458731,0.291267,0.458745,0.291254,0.45901,0.290989,0.458916,0.291083,0.458933,0.291066,0.458652,0.291347,0.459149,0.29085,0.458623,0.291376,0.458986,0.291012,0.458499,0.2915,0.458567,0.291431,0.458106,0.291893,0.4584,0.291599,0.458726,0.291271,0.458899,0.291098,0.458788,0.29121,0.458739,0.29126,0.458988,0.291009,0.458836,0.291162,0.458724,0.291275,0.458893,0.291105,0.45865,0.291349,0.458901,0.291098,0.458771,0.291228,0.459081,0.290918,0.458661,0.291338,0.45879,0.291204,0.458936,0.291062,0.45898,0.291018
300000,0.443819,0.306179,0.444023,0.305976,0.443764,0.306234,0.443789,0.30621,0.443558,0.306441,0.443432,0.306565,0.443317,0.306681,0.443375,0.306624,0.442988,0.307011,0.443734,0.306265,0.443335,0.306662,0.443703,0.306296,0.443741,0.306258,0.443707,0.306292,0.443666,0.306333,0.44366,0.306339,0.443863,0.306136,0.4436,0.306399,0.443354,0.306645,0.443604,0.306395,0.44335,0.306649,0.444094,0.305905,0.443336,0.306662,0.443742,0.306257,0.443031,0.306967,0.443774,0.306225,0.444182,0.305817,0.443577,0.306422,0.443547,0.306451,0.443402,0.306596,0.443176,0.306822,0.443901,0.306098,0.443827,0.306171,0.443529,0.306469,0.443973,0.306026,0.443549,0.306449,0.443489,0.30651,0.44311,0.306883,0.444115,0.305882,0.444068,0.305931,0.443842,0.306157,0.443721,0.306278,0.443714,0.306285,0.443936,0.306063,0.443633,0.306366,0.444001,0.305998,0.443884,0.306115,0.443063,0.306935,0.443234,0.306765,0.443544,0.306455,0.44368,0.306319,0.443869,0.306129,0.444067,0.305931,0.443918,0.30608,0.443405,0.306594,0.443634,0.306365,0.443966,0.306032,0.443325,0.306674,0.443637,0.306362,0.443733,0.306266,0.443567,0.306431,0.443336,0.306663,0.443954,0.306044,0.443498,0.306498,0.443753,0.306245,0.443265,0.306731,0.443729,0.30627,0.443288,0.306709,0.442788,0.307211,0.443611,0.306388,0.443341,0.306658,0.44347,0.306529,0.443412,0.306587,0.443892,0.306107,0.443357,0.306642,0.443541,0.306458,0.44369,0.306309,0.443757,0.306242,0.443645,0.306354,0.443607,0.30639,0.443236,0.306763,0.443189,0.306809,0.443115,0.306884,0.443107,0.306892,0.443663,0.306334,0.443869,0.30613,0.443529,0.30647,0.443575,0.306424,0.44358,0.306418,0.443804,0.306191,0.44374,0.306257,0.44385,0.306149,0.443667,0.306332,0.443672,0.306325,0.443592,0.306404,0.444169,0.30583,0.444018,0.305977,0.443535,0.306464,0.443714,0.306285,0.443525,0.306474
400000,0.431403,0.318595,0.43171,0.318289,0.431168,0.318828,0.431353,0.318646,0.43109,0.318909,0.431243,0.318756,0.430939,0.31906,0.431115,0.318884,0.431065,0.318934,0.431237,0.318762,0.431163,0.318835,0.431236,0.318763,0.431274,0.318723,0.43154,0.318459,0.430951,0.319047,0.431445,0.318554,0.431223,0.318776,0.430783,0.319214,0.431329,0.31867,0.431088,0.318911,0.430769,0.31923,0.431308,0.318691,0.431196,0.318803,0.431203,0.318796,0.430164,0.319835,0.431591,0.318408,0.432085,0.317914,0.431136,0.318863,0.430716,0.319281,0.431002,0.318997,0.430694,0.319305,0.431333,0.318662,0.431215,0.31878,0.43105,0.318946,0.431302,0.318697,0.431252,0.318746,0.431076,0.318923,0.430931,0.319068,0.43115,0.318846,0.431295,0.318704,0.431155,0.318844,0.431277,0.31872,0.431133,0.318866,0.431616,0.318383,0.431125,0.318874,0.431375,0.318624,0.431127,0.318871,0.431142,0.318857,0.430456,0.319543,0.431214,0.318785,0.430961,0.319038,0.431041,0.318958,0.431449,0.31855,0.431529,0.31847,0.431008,0.31899,0.431292,0.318707,0.431549,0.31845,0.431247,0.318752,0.431432,0.318567,0.431254,0.318745,0.431034,0.318965,0.431121,0.318878,0.431141,0.318854,0.431273,0.318726,0.431235,0.318764,0.430893,0.319105,0.431301,0.318698,0.431236,0.318763,0.430204,0.319794,0.431186,0.318813,0.430734,0.319265,0.431362,0.318637,0.431235,0.318764,0.43186,0.318139,0.431344,0.318655,0.431218,0.31878,0.431386,0.318613,0.431283,0.318716,0.431105,0.318894,0.431131,0.318868,0.430923,0.319076,0.430629,0.31937,0.430924,0.319074,0.430839,0.31916,0.430788,0.319211,0.431405,0.318593,0.43132,0.318678,0.431213,0.318785,0.431205,0.318794,0.431254,0.318745,0.431168,0.31883,0.431514,0.318485,0.431122,0.318877,0.431294,0.318705,0.431058,0.318941,0.431736,0.318263,0.43153,0.318469,0.430999,0.319,0.43105,0.318947,0.431153,0.318845
500000,0.421159,0.328839,0.421229,0.32877,0.420691,0.329306,0.421392,0.328607,0.420968,0.329031,0.420949,0.32905,0.421024,0.328975,0.420912,0.329085,0.421216,0.328783,0.420789,0.329208,0.42123,0.328769,0.420785,0.329213,0.421084,0.328915,0.42122,0.328779,0.420889,0.329109,0.421348,0.328651,0.421254,0.328743,0.421027,0.328971,0.421057,0.328941,0.421284,0.328715,0.420762,0.329237,0.421363,0.328636,0.421003,0.328995,0.420873,0.329126,0.420019,0.32998,0.421091,0.328908,0.421392,0.328606,0.420916,0.329083,0.420593,0.329406,0.420612,0.329387,0.420505,0.329493,0.420935,0.329064,0.420908,0.329091,0.421134,0.328863,0.421119,0.32888,0.421263,0.328736,0.420589,0.32941,0.420939,0.329059,0.420689,0.329309,0.420985,0.329014,0.421157,0.328842,0.421023,0.328975,0.420796,0.329203,0.421006,0.328992,0.42062,0.329379,0.4212,0.328799,0.420892,0.329107,0.42085,0.329148,0.420523,0.329476,0.420926,0.329071,0.420827,0.329171,0.421077,0.328922,0.421241,0.328757,0.421036,0.328962,0.421061,0.328938,0.421006,0.328992,0.421171,0.328827,0.420989,0.32901,0.421163,0.328836,0.421207,0.328792,0.420838,0.329161,0.421098,0.328901,0.420698,0.329301,0.421379,0.328619,0.421054,0.328945,0.420711,0.329283,0.421201,0.328792,0.421105,0.328893,0.420204,0.329793,0.421194,0.328802,0.420823,0.329176,0.42116,0.328833,0.420948,0.329051,0.421904,0.328095,0.421,0.328999,0.421159,0.32884,0.421076,0.328923,0.421053,0.328945,0.421138,0.328859,0.420896,0.329103,0.420692,0.329305,0.420682,0.329317,0.421015,0.328984,0.420548,0.329444,0.420246,0.329753,0.42103,0.328969,0.421099,0.328899,0.420986,0.329012,0.420841,0.329155,0.420932,0.329065,0.421171,0.328823,0.421311,0.328688,0.420937,0.329059,0.420964,0.329034,0.420807,0.329192,0.421421,0.328578,0.421273,0.328725,0.420763,0.329233,0.420784,0.329215,0.421226,0.328773
600000,0.412768,0.337229,0.412596,0.337403,0.412193,0.337806,0.413071,0.336928,0.412516,0.337483,0.412546,0.337453,0.4125,0.337497,0.412492,0.337507,0.412885,0.337114,0.412865,0.337133,0.413202,0.336797,0.412605,0.337392,0.412845,0.337154,0.412867,0.337132,0.41311,0.336889,0.412757,0.33724,0.412872,0.337126,0.412687,0.337312,0.412631,0.337368,0.412868,0.337131,0.412493,0.337505,0.412867,0.337131,0.412427,0.337572,0.412751,0.337247,0.411828,0.33817,0.412633,0.337364,0.412979,0.337018,0.412704,0.337295,0.412,0.337999,0.412157,0.337841,0.411841,0.338158,0.412762,0.337237,0.412544,0.337454,0.413057,0.336942,0.413134,0.336865,0.412716,0.337283,0.412167,0.337832,0.412978,0.337018,0.412615,0.337384,0.412766,0.337233,0.412815,0.337184,0.412464,0.337535,0.412131,0.337867,0.41262,0.337379,0.412264,0.337735,0.412802,0.337197,0.41213,0.337869,0.412484,0.337515,0.412468,0.33753,0.41273,0.337269,0.412471,0.337528,0.412618,0.337381,0.412602,0.337397,0.412423,0.337576,0.413105,0.336893,0.412574,0.337424,0.413053,0.336946,0.412937,0.337062,0.412391,0.337608,0.412859,0.33714,0.41264,0.337359,0.413036,0.336962,0.41284,0.337158,0.412827,0.337171,0.412578,0.337421,0.412714,0.337283,0.412839,0.33716,0.412589,0.33741,0.412099,0.337899,0.412558,0.337441,0.412669,0.337329,0.412487,0.337512,0.412503,0.337495,0.413345,0.336654,0.412461,0.337536,0.412738,0.33726,0.412892,0.337107,0.412642,0.337354,0.412673,0.337326,0.412509,0.33749,0.412276,0.337723,0.412517,0.337482,0.412347,0.337651,0.412318,0.337681,0.41206,0.337939,0.412842,0.337157,0.412907,0.337092,0.41264,0.337359,0.412324,0.337675,0.412434,0.337565,0.412578,0.337419,0.412715,0.337282,0.412648,0.337351,0.412756,0.337243,0.412622,0.337377,0.413321,0.336678,0.413107,0.336892,0.412332,0.337666,0.412449,0.337548,0.41294,0.337058
700000,0.405626,0.344372,0.40535,0.344649,0.405557,0.344442,0.406477,0.343522,0.405691,0.344308,0.405755,0.344244,0.405462,0.344534,0.405863,0.344136,0.406094,0.343905,0.405656,0.344342,0.406273,0.343724,0.405793,0.344202,0.405924,0.344075,0.405897,0.344102,0.406267,0.343732,0.405791,0.344207,0.40572,0.344279,0.405729,0.344269,0.405791,0.344208,0.406003,0.343996,0.405935,0.344064,0.405943,0.344056,0.405471,0.344528,0.40575,0.344249,0.405043,0.344953,0.406179,0.34382,0.406494,0.343505,0.405864,0.344135,0.405397,0.344601,0.405425,0.344574,0.404969,0.34503,0.406128,0.343871,0.405822,0.344177,0.406041,0.343957,0.406151,0.343848,0.405409,0.344589,0.405436,0.344563,0.406067,0.34393,0.405763,0.344236,0.406128,0.343871,0.405749,0.344249,0.405732,0.344266,0.405178,0.34482,0.406113,0.343886,0.4059,0.344099,0.405971,0.344027,0.405435,0.344564,0.405627,0.344372,0.405428,0.344571,0.405639,0.34436,0.40592,0.344079,0.40591,0.344089,0.405831,0.344168,0.405375,0.344623,0.406443,0.343556,0.40591,0.344089,0.406261,0.343738,0.405602,0.344396,0.405586,0.344413,0.405689,0.34431,0.406064,0.343935,0.405905,0.344094,0.405586,0.344413,0.405739,0.34426,0.40588,0.344119,0.406113,0.343885,0.406314,0.343683,0.405868,0.344129,0.405545,0.344454,0.405745,0.344254,0.405628,0.344371,0.406166,0.343833,0.405478,0.34452,0.406934,0.343065,0.40571,0.344289,0.405777,0.344222,0.406225,0.343773,0.405765,0.344234,0.405916,0.344083,0.405643,0.344355,0.405469,0.34453,0.40551,0.344488,0.405364,0.344635,0.405641,0.344358,0.405417,0.344582,0.405768,0.344231,0.405851,0.344145,0.405874,0.344125,0.405473,0.344526,0.405737,0.344262,0.405614,0.344385,0.405793,0.344206,0.405885,0.344114,0.405838,0.34416,0.405883,0.344116,0.406382,0.343616,0.406244,0.343754,0.405859,0.34414,0.406134,0.343865,0.405725,0.344273
800000,0.399907,0.350092,0.399811,0.350188,0.40007,0.349928,0.401153,0.348842,0.400199,0.349798,0.400033,0.349965,0.400266,0.349732,0.400294,0.349705,0.400653,0.349345,0.399738,0.350261,0.401121,0.348878,0.400227,0.349772,0.400406,0.349593,0.400294,0.349705,0.400557,0.349441,0.40001,0.349989,0.400248,0.349751,0.400042,0.349957,0.400526,0.349473,0.400388,0.349611,0.400091,0.349904,0.400767,0.34923,0.40044,0.349558,0.400159,0.349837,0.399774,0.350225,0.400565,0.349434,0.40078,0.349219,0.400376,0.349623,0.399814,0.350185,0.400186,0.349812,0.39951,0.350489,0.400305,0.349691,0.400362,0.349637,0.400622,0.349376,0.400662,0.349336,0.400172,0.349827,0.400424,0.349575,0.400272,0.349727,0.400053,0.349946,0.400726,0.349273,0.399894,0.350105,0.399711,0.350288,0.399515,0.350483,0.400616,0.349382,0.400278,0.349721,0.400659,0.34934,0.400163,0.349836,0.400129,0.34987,0.399952,0.350047,0.400065,0.349934,0.400552,0.349447,0.399792,0.350207,0.400644,0.349354,0.399982,0.350017,0.400768,0.349231,0.400125,0.349873,0.400647,0.349352,0.400127,0.349871,0.400027,0.349971,0.399918,0.350081,0.400514,0.349484,0.400231,0.349767,0.399846,0.350153,0.400147,0.349852,0.400383,0.349614,0.400511,0.349486,0.40051,0.349489,0.400284,0.349715,0.400069,0.34993,0.40062,0.349379,0.39992,0.350077,0.400571,0.349428,0.400069,0.349929,0.40104,0.348959,0.400033,0.349966,0.400031,0.349968,0.400565,0.349432,0.400038,0.34996,0.40032,0.349679,0.40009,0.349909,0.400319,0.34968,0.400277,0.349722,0.399908,0.350089,0.399819,0.35018,0.399794,0.350205,0.400485,0.349514,0.400381,0.349616,0.400388,0.34961,0.399882,0.350116,0.400241,0.349758,0.399968,0.350031,0.400181,0.349817,0.400386,0.349613,0.400586,0.349413,0.400298,0.349701,0.400208,0.349791,0.400787,0.349212,0.400129,0.349869,0.400749,0.349248,0.400375,0.349623
900000,0.395062,0.354937,0.395413,0.354586,0.395321,0.354678,0.396263,0.353735,0.395541,0.354458,0.395465,0.354534,0.395864,0.354135,0.395658,0.354338,0.395927,0.354072,0.395652,0.354347,0.396374,0.353623,0.39571,0.354289,0.395586,0.354411,0.395639,0.354359,0.395949,0.35405,0.395625,0.354374,0.395369,0.35463,0.395506,0.354491,0.395403,0.354594,0.396086,0.353912,0.395524,0.354475,0.39648,0.353519,0.396008,0.353991,0.395837,0.354162,0.395614,0.354385,0.396131,0.353867,0.396017,0.353982,0.395729,0.354269,0.395344,0.354654,0.395688,0.354309,0.394973,0.355026,0.395997,0.354002,0.395738,0.35426,0.396102,0.353897,0.39596,0.354038,0.395623,0.354371,0.395494,0.354505,0.395455,0.354542,0.395505,0.354494,0.395996,0.354003,0.395476,0.354523,0.395097,0.354901,0.394846,0.355152,0.395875,0.354124,0.395778,0.354221,0.396456,0.353543,0.395255,0.354744,0.395466,0.354533,0.395666,0.354333,0.395608,0.354384,0.395748,0.354251,0.395415,0.354583,0.395861,0.354138,0.395268,0.354728,0.396065,0.353932,0.395826,0.354173,0.396142,0.353857,0.395428,0.35457,0.395523,0.354476,0.395248,0.354751,0.395911,0.354088,0.395575,0.354424,0.39523,0.354769,0.395332,0.354667,0.395957,0.354038,0.395898,0.354101,0.396137,0.353862,0.395765,0.354233,0.395216,0.354783,0.396045,0.353954,0.395282,0.354717,0.395947,0.354051,0.395802,0.354193,0.396367,0.353631,0.39541,0.354587,0.395773,0.354225,0.395671,0.354327,0.395826,0.354172,0.395583,0.354414,0.395364,0.354633,0.395793,0.354206,0.395852,0.354145,0.39524,0.354759,0.395331,0.354668,0.39501,0.354989,0.395708,0.354289,0.395786,0.354213,0.395505,0.354494,0.395182,0.354817,0.395602,0.354397,0.395337,0.354662,0.395029,0.35497,0.396029,0.353968,0.396157,0.353842,0.395563,0.354435,0.395413,0.354585,0.396275,0.353724,0.395179,0.354817,0.396093,0.353906,0.395727,0.354272
