t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.5,0.005,0.495,0,2.45327e-17,2.45327e-17
100000,0.455138,0.0498525,0.405286,0.00084189,0.000854128,0.0011993
200000,0.418398,0.0865972,0.331801,0.00118044,0.00118353,0.00167158
300000,0.388341,0.116657,0.271684,0.00114191,0.0011376,0.00161186
400000,0.363727,0.141271,0.222456,0.00131943,0.0013211,0.00186714
500000,0.343583,0.161415,0.182169,0.00146475,0.00146428,0.00207114
600000,0.327074,0.177924,0.14915,0.0015017,0.00150244,0.00212424
700000,0.313529,0.191469,0.122061,0.00154249,0.00154062,0.00218008
800000,0.30248,0.202519,0.0999609,0.00142013,0.0014213,0.0020092
900000,0.293403,0.211595,0.0818088,0.00158626,0.00158498,0.00224241
1e+06,0.285978,0.21902,0.0669572,0.00154441,0.00154439,0.00218411
1.1e+06,0.279916,0.225082,0.0548339,0.00170279,0.00170181,0.00240741
1.2e+06,0.274937,0.230061,0.0448757,0.00161476,0.00161567,0.00228426
1.3e+06,0.270898,0.2341,0.0367986,0.00148716,0.00148676,0.00210288
1.4e+06,0.267554,0.237444,0.0301096,0.0016323,0.00163123,0.00230767
1.5e+06,0.264808,0.24019,0.0246177,0.00165622,0.00165623,0.00234226
1.6e+06,0.262569,0.242429,0.0201405,0.00164725,0.00164693,0.00232934
1.7e+06,0.260748,0.24425,0.0164985,0.00184962,0.0018512,0.00261688
1.8e+06,0.259259,0.245739,0.0135198,0.00171761,0.00171753,0.00242901
1.9e+06,0.258025,0.246973,0.0110525,0.00177569,0.00177583,0.0025113
2e+06,0.257,0.247998,0.00900149,0.00174048,0.00174004,0.0024611
2.1e+06,0.256172,0.248826,0.0073462,0.00176795,0.00176911,0.00250108
2.2e+06,0.255498,0.249501,0.00599707,0.00178793,0.00178852,0.00252893
2.3e+06,0.254923,0.250075,0.0048478,0.00184307,0.00184319,0.00260658
2.4e+06,0.254482,0.250516,0.00396634,0.00174995,0.00175089,0.00247547
2.5e+06,0.254114,0.250884,0.00322944,0.00170012,0.00169908,0.0024036
2.6e+06,0.253825,0.251174,0.00265084,0.00151186,0.00151248,0.00213854
2.7e+06,0.253591,0.251408,0.00218279,0.0016115,0.00161195,0.00227932
2.8e+06,0.253399,0.251599,0.00180062,0.00177264,0.00177142,0.00250602
2.9e+06,0.253231,0.251767,0.00146433,0.00168576,0.00168533,0.00238372
3e+06,0.253063,0.251935,0.00112762,0.0016499,0.00165026,0.00233356
3.1e+06,0.252953,0.252046,0.00090703,0.0017346,0.00173423,0.00245284
3.2e+06,0.252905,0.252093,0.00081141,0.00173145,0.00173196,0.002449
3.3e+06,0.252842,0.252156,0.00068625,0.00173014,0.00173044,0.002447
3.4e+06,0.25278,0.252218,0.00056172,0.00171481,0.00171516,0.00242536
3.5e+06,0.25272,0.252278,0.00044191,0.00174551,0.00174602,0.00246889
3.6e+06,0.252671,0.252327,0.000344,0.00168235,0.00168306,0.0023797
3.7e+06,0.25265,0.252348,0.0003026,0.00159983,0.00159898,0.0022619
3.8e+06,0.252631,0.252367,0.00026471,0.00198557,0.00198549,0.00280796
3.9e+06,0.252623,0.252376,0.00024699,0.00191823,0.00191875,0.00271315
4e+06,0.252592,0.252406,0.00018625,0.00183571,0.00183484,0.00259548
4.1e+06,0.252569,0.252429,0.00014001,0.00174351,0.00174259,0.00246505
4.2e+06,0.252551,0.252447,0.00010349,0.00184907,0.00184903,0.00261495
4.3e+06,0.252497,0.252501,-3.86e-06,0.00184826,0.00184922,0.00261451
4.4e+06,0.252477,0.252521,-4.424e-05,0.00174104,0.00174047,0.0024618
4.5e+06,0.252476,0.252522,-4.537e-05,0.00174546,0.00174547,0.00246846
4.6e+06,0.252483,0.252516,-3.309e-05,0.001552,0.00155225,0.00219503
4.7e+06,0.252495,0.252503,-7.4e-06,0.00162637,0.00162575,0.0022996
4.8e+06,0.252559,0.252439,0.00011939,0.00166717,0.00166714,0.00235771
4.9e+06,0.252537,0.252461,7.545e-05,0.00168506,0.00168448,0.00238263
5e+06,0.252533,0.252465,6.856e-05,0.00160702,0.00160807,0.00227341
5.1e+06,0.252506,0.252492,1.38e-05,0.00166389,0.00166389,0.0023531
5.2e+06,0.252506,0.252492,1.4e-05,0.00164293,0.001643,0.0023235
5.3e+06,0.252504,0.252494,1.049e-05,0.00148652,0.00148586,0.0021018
5.4e+06,0.25251,0.252488,2.243e-05,0.00156853,0.00156865,0.00221832
5.5e+06,0.252537,0.252461,7.624e-05,0.00166065,0.00166119,0.0023489
5.6e+06,0.252534,0.252465,6.922e-05,0.00161761,0.00161628,0.00228671
5.7e+06,0.252522,0.252476,4.637e-05,0.00173566,0.00173531,0.00245435
5.8e+06,0.252561,0.252437,0.00012411,0.0017651,0.00176472,0.00249596
5.9e+06,0.252565,0.252433,0.00013208,0.001686,0.00168565,0.00238412
6e+06,0.252563,0.252435,0.00012731,0.00166057,0.00166078,0.00234855
6.1e+06,0.252536,0.252462,7.346e-05,0.00167904,0.00168066,0.00237567
6.2e+06,0.252536,0.252462,7.442e-05,0.00160019,0.00160079,0.00226343
6.3e+06,0.252538,0.25246,7.797e-05,0.00146578,0.00146495,0.00207234
6.4e+06,0.252561,0.252437,0.00012467,0.0016636,0.00166346,0.00235258
6.5e+06,0.252541,0.252457,8.336e-05,0.00155433,0.00155385,0.00219782
6.6e+06,0.252549,0.25245,9.892e-05,0.00152377,0.00152252,0.00215405
6.7e+06,0.252542,0.252457,8.51e-05,0.00172694,0.00172815,0.00244312
6.8e+06,0.252526,0.252473,5.308e-05,0.00169439,0.00169422,0.00239611
6.9e+06,0.252507,0.252492,1.536e-05,0.00186413,0.00186517,0.00263702
7e+06,0.252498,0.2525,-1.53e-06,0.00185905,0.00185731,0.00262786
7.1e+06,0.252512,0.252487,2.539e-05,0.00204204,0.00204248,0.00288819
7.2e+06,0.252527,0.252471,5.557e-05,0.00223551,0.00223604,0.00316186
7.3e+06,0.252526,0.252472,5.432e-05,0.00194993,0.00194977,0.0027575
7.4e+06,0.252539,0.252459,8.066e-05,0.00165768,0.00165818,0.00234467
7.5e+06,0.252554,0.252444,0.00011072,0.00168064,0.00168128,0.00237724
7.6e+06,0.25258,0.252419,0.000161,0.00185604,0.00185584,0.0026247
7.7e+06,0.252553,0.252446,0.00010716,0.00179478,0.00179412,0.00253774
7.8e+06,0.252549,0.25245,9.876e-05,0.00176757,0.00176814,0.00250013
7.9e+06,0.252525,0.252473,5.253e-05,0.00167053,0.00167126,0.002363
8e+06,0.252519,0.252479,4.007e-05,0.00166783,0.00166787,0.00235869
8.1e+06,0.252541,0.252457,8.411e-05,0.00163148,0.00163193,0.00230758
8.2e+06,0.252506,0.252492,1.44e-05,0.00175817,0.00175756,0.002486
8.3e+06,0.252505,0.252493,1.12e-05,0.00163666,0.00163708,0.00231488
8.4e+06,0.252509,0.252489,2.06e-05,0.00146747,0.00146764,0.00207544
8.5e+06,0.252484,0.252514,-3e-05,0.00161967,0.00161959,0.0022905
8.6e+06,0.252511,0.252487,2.384e-05,0.00168392,0.00168373,0.00238128
8.7e+06,0.252525,0.252473,5.145e-05,0.00179574,0.00179447,0.00253866
8.8e+06,0.252499,0.252499,2e-08,0.00183985,0.00183866,0.0026011
8.9e+06,0.252528,0.252471,5.694e-05,0.00157107,0.00157036,0.00222132
9e+06,0.252513,0.252486,2.687e-05,0.00167443,0.00167436,0.00236795
9.1e+06,0.25252,0.252478,4.148e-05,0.00164344,0.00164448,0.00232491
9.2e+06,0.252535,0.252463,7.173e-05,0.00157125,0.00157005,0.00222123
9.3e+06,0.252518,0.25248,3.725e-05,0.00176935,0.00176898,0.00250198
9.4e+06,0.252523,0.252475,4.796e-05,0.00169523,0.00169378,0.0023964
9.5e+06,0.252508,0.252491,1.719e-05,0.00171283,0.00171139,0.00242129
9.6e+06,0.252498,0.2525,-1.99e-06,0.00176344,0.00176482,0.00249486
9.7e+06,0.252502,0.252497,5e-06,0.00161865,0.00161637,0.0022875
9.8e+06,0.252543,0.252455,8.761e-05,0.00162788,0.00162902,0.00230297
9.9e+06,0.252557,0.252441,0.00011551,0.00159488,0.00159433,0.00225511
1e+07,0.252549,0.252449,0.00010036,0.00159217,0.00159182,0.00225142
